agents=25
map_file=intersection_105.map
solver=het_lacam
solved=1
soc=2883
soc_lb=648
makespan=188
makespan_lb=91
sum_of_loss=2105
comp_time=884
seed=0
checkpoints=-1,
comp_time_initial_solution=869
cost_initial_solution=2149
search_iteration=9777
num_high_level_node=4079
num_low_level_node=35294
fleets=0:1:1:105:105;1:3:1:35:35;2:5:2:21:21;3:7:3:15:15
agent_fleet=3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23:(5,6),(5,5),(9,8),(6,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,18),(17,16),(54,47),(48,39),(46,49),(49,25),(40,57),(47,39),(54,72),(56,35),(66,51),(50,57),(45,49),(49,51),
24:(5,6),(5,5),(9,8),(6,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,18),(17,16),(54,48),(48,40),(47,49),(49,26),(40,56),(47,38),(54,71),(56,36),(67,51),(49,57),(45,50),(49,52),
25:(6,6),(5,5),(9,8),(7,6),(11,13),(12,9),(13,13),(12,8),(12,16),(17,22),(12,17),(17,18),(17,17),(54,49),(47,40),(48,49),(49,27),(40,55),(47,37),(54,70),(57,36),(68,51),(49,56),(45,51),(49,53),
26:(6,6),(5,5),(9,8),(7,6),(11,13),(12,9),(13,13),(12,8),(12,15),(17,22),(13,17),(17,18),(16,17),(54,50),(46,40),(48,49),(49,28),(40,54),(48,37),(54,69),(57,37),(69,51),(49,55),(45,51),(49,54),
27:(6,6),(5,5),(9,8),(7,6),(11,13),(12,9),(13,13),(12,8),(12,14),(17,22),(14,17),(17,18),(16,17),(54,51),(45,40),(48,49),(49,29),(40,53),(49,37),(54,68),(57,38),(70,51),(48,55),(45,51),(49,55),
28:(7,6),(5,5),(9,8),(8,6),(11,13),(12,10),(13,13),(12,7),(12,14),(17,22),(15,17),(17,18),(16,17),(54,52),(44,40),(48,48),(49,30),(40,52),(50,37),(54,67),(57,39),(71,51),(47,55),(45,50),(49,56),
29:(7,6),(5,5),(9,8),(8,6),(11,13),(12,10),(13,13),(12,7),(12,14),(17,22),(16,17),(16,18),(17,17),(54,53),(43,40),(48,47),(49,31),(40,51),(50,36),(54,66),(58,39),(72,51),(47,54),(45,51),(49,57),
30:(7,6),(5,5),(9,8),(8,6),(11,13),(12,10),(13,13),(11,7),(12,14),(17,22),(17,17),(16,18),(18,17),(54,54),(43,41),(48,46),(49,32),(40,50),(51,36),(54,65),(58,40),(73,51),(47,53),(45,51),(49,58),
31:(7,6),(5,5),(9,8),(8,7),(11,13),(13,10),(13,13),(11,7),(12,14),(17,22),(17,18),(16,18),(17,17),(54,55),(42,41),(48,45),(49,33),(40,49),(52,36),(54,64),(59,40),(74,51),(46,53),(45,51),(49,59),
32:(7,6),(5,5),(9,8),(8,7),(11,13),(13,10),(13,13),(11,7),(12,14),(17,22),(17,19),(16,18),(16,17),(54,56),(42,41),(48,44),(49,34),(40,48),(53,36),(54,63),(60,40),(75,51),(45,53),(45,51),(49,60),
33:(7,6),(5,5),(9,8),(8,7),(11,13),(13,9),(13,13),(11,7),(12,14),(17,22),(17,19),(16,18),(16,17),(54,57),(42,41),(48,43),(49,35),(40,47),(54,36),(54,62),(60,41),(76,51),(45,52),(45,51),(49,61),
34:(7,7),(5,5),(9,8),(8,8),(11,13),(13,9),(13,13),(11,8),(12,14),(17,22),(17,19),(16,19),(15,17),(54,58),(42,41),(48,42),(49,36),(40,46),(55,36),(54,61),(61,41),(77,51),(44,52),(44,51),(49,62),
